Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
20-07-2018,152,164.95,149.8,163.05,157.21,2845031,15663,447267480,107526,3.78,15.15,11.05
23-07-2018,162.5,172.35,159,171.1,164.76,2100895,11256,346145584,79623,3.79,13.35,8.6
24-07-2018,171,188.1,165.15,186.15,175.46,4181190,22006,733632029,156604,3.75,22.95,15.15
25-07-2018,185.15,205.05,184,200.35,196.47,4416275,27865,867675870,178844,4.05,21.05,15.2
26-07-2018,193.8,201,189.25,197.5,195.56,3814664,23666,746014412,128811,3.38,11.75,3.7
27-07-2018,198.5,206.55,190.4,195.95,200.06,2712359,17631,542635426,125466,4.63,16.15,-2.55
30-07-2018,197.2,200.35,192.4,193.55,195.66,1425242,8127,278857577,81639,5.73,7.95,-3.65
31-07-2018,193.7,198.15,191,195.55,193.43,981329,5621,189814330,76608,7.81,7.15,1.85
01-08-2018,196.9,197.4,191.6,193.15,194.17,641221,3427,124502948,43308,6.75,5.8,-3.75
02-08-2018,193,201.6,185.65,196.5,193.18,1877829,9098,362756721,83216,4.43,15.95,3.5
03-08-2018,195,204.2,194.1,198,200.42,1468372,8802,294292240,117779,8.02,10.1,3
06-08-2018,200,202.4,196.35,198.3,199.43,951038,6431,189665868,88544,9.31,6.05,-1.7
07-08-2018,195.5,197.2,187.1,190.15,191.97,1592975,7786,305805957,91873,5.77,10.1,-5.35
08-08-2018,182.1,209.15,179,199.35,190.24,3534469,19016,672380635,260395,7.37,30.15,17.25
09-08-2018,205,206.7,197.9,200.25,202.61,1734171,9811,351360064,116687,6.73,8.8,-4.75
10-08-2018,197.35,202,196.4,198.9,198.8,1091982,5881,217087064,33882,3.1,5.6,1.55
13-08-2018,195,198.9,193,194.2,195.29,941596,4547,183881260,47204,5.01,5.9,-0.8
14-08-2018,195,205.9,194.95,202.4,200.14,1532875,7750,306796839,99614,6.5,10.95,7.4
16-08-2018,199.85,205.65,198,202.85,202.54,1217432,6133,246575483,100656,8.27,7.65,3
17-08-2018,202.1,206.5,200.25,202.8,204.27,788721,3169,161113641,56078,7.11,6.25,0.7
20-08-2018,202.5,214.4,202.4,212.35,209.24,1825604,9878,381985277,175780,9.63,12,9.85
21-08-2018,214.8,222.25,211.8,213.1,217.32,1740151,12455,378168749,294313,16.91,10.45,-1.7
23-08-2018,214.75,215.05,204.25,210.95,209.89,1346478,8404,282611210,67884,5.04,10.8,-3.8
24-08-2018,211.4,214.45,207.6,208.85,210.69,786096,4059,165619978,59347,7.55,6.85,-2.55
27-08-2018,209.2,212.8,207.5,211.7,210.45,716527,3844,150793081,55948,7.81,5.3,2.5
28-08-2018,212.8,232,209.6,229.2,222.97,3050436,18748,680158207,239531,7.85,22.4,16.4
29-08-2018,231.95,236.7,220.15,223.2,229.34,2716502,16130,622992714,349755,12.88,16.55,-8.75
30-08-2018,222.95,230.95,220,224.1,225.97,1571774,10810,355178735,162494,10.34,10.95,1.15
31-08-2018,226,228.35,222.3,224.8,225.37,877058,5659,197658593,85812,9.78,6.05,-1.2
03-09-2018,227,227.5,204.25,210.25,215.78,1996197,11048,430734816,282496,14.15,23.25,-16.75
04-09-2018,211,216,202.15,210.4,210.61,2055877,13149,432982190,106792,5.19,13.85,-0.6
05-09-2018,210,216.65,206.25,212.2,211.8,2408825,15366,510183595,320594,13.31,10.4,2.2
06-09-2018,150.4,169.8,139.8,163.8,159.83,5098189,43707,814859469,291892,5.73,30,13.4
07-09-2018,165.7,169.9,156,157.45,161.7,3216599,19400,520117021,377002,11.72,13.9,-8.25
10-09-2018,157.5,157.95,150.05,150.85,153.35,1933370,10103,296477996,131521,6.8,7.9,-6.65
11-09-2018,151.1,153.65,146.35,148.4,150.17,1408884,7399,211579151,99873,7.09,7.3,-2.7
12-09-2018,148.9,150,142.85,148.85,146.43,1477545,6495,216355884,118605,8.03,7.15,-0.05
14-09-2018,149.5,152.95,148.25,150.4,150.97,1105686,4831,166920385,87857,7.95,4.7,0.9
17-09-2018,148,155.45,146.8,151.95,150.64,1366266,6035,205814937,103357,7.56,8.65,3.95
18-09-2018,152.35,154.9,146.5,148.45,151.26,921002,3923,139311226,63703,6.92,8.4,-3.9
19-09-2018,148.35,150.65,145.35,147,147.94,633842,2705,93768601,61574,9.71,5.3,-1.35
21-09-2018,148.5,153.5,132.3,138.5,143.21,1536548,7195,220053522,123726,8.05,21.2,-10
24-09-2018,140,140,131.45,134,135.25,1068623,3988,144531664,54482,5.1,8.55,-6
25-09-2018,134,141.95,125.85,138.2,134.75,1157987,5742,156037833,73008,6.3,16.1,4.2
26-09-2018,142.9,142.9,133.85,136.5,136.6,699164,3334,95503282,76468,10.94,9.05,-6.4
27-09-2018,136.85,144,132.8,141.95,138.59,856186,5356,118660171,91372,10.67,11.2,5.1
28-09-2018,142,143.4,127.7,130.85,133.54,1623547,8097,216804983,109847,6.77,15.7,-11.15
01-10-2018,129.9,138.5,121.65,137.3,130.7,1021825,5578,133556915,113087,11.07,16.85,7.4
03-10-2018,135,141.4,130.1,134.85,137.57,1041405,4927,143269809,70647,6.78,11.3,-0.15
04-10-2018,131.9,134.55,127.2,133.1,131.76,1027296,4705,135354419,36405,3.54,7.35,1.2
05-10-2018,135,135.7,128.1,130.1,132.43,699433,3320,92629287,45316,6.48,7.6,-4.9
08-10-2018,129,135,122.1,133.2,128.78,1426236,6129,183666736,54421,3.82,12.9,4.2
09-10-2018,134.5,138,129.4,135.95,133.88,844078,9960,113002199,50040,5.93,8.6,1.45
10-10-2018,134.05,147.9,134.05,144.4,140.74,891868,4152,125518657,97236,10.9,13.85,10.35
11-10-2018,137,143.25,135.8,138.6,139.73,1109861,4603,155082553,59970,5.4,7.45,1.6
12-10-2018,140,145.2,140,143.8,143.02,752762,3454,107661711,69455,9.23,5.2,3.8
15-10-2018,146,153.7,143.9,152.5,149.02,1035039,5134,154246104,74943,7.24,9.8,6.5
16-10-2018,152.95,159.7,152,157.85,156.42,931408,4593,145693832,76132,8.17,7.7,4.9
17-10-2018,160.2,163.55,154.5,161.6,160.17,1649905,7469,264271872,97222,5.89,9.05,1.4
19-10-2018,160.4,170.4,158.9,168.7,165.69,1567169,7478,259662062,116818,7.45,11.5,8.3
22-10-2018,171,176.7,164.35,168.25,172.35,1627637,9287,280527668,108274,6.65,12.35,-2.75
23-10-2018,169.4,175,166.05,169.25,168.88,1314531,7476,221993788,44005,3.35,8.95,-0.15
24-10-2018,170.9,172.2,165.3,167.65,168.39,725384,3406,122147298,47302,6.52,6.9,-3.25
25-10-2018,165.5,173.8,161.7,171.35,166.71,1029265,4437,171591189,85999,8.36,12.1,5.85
26-10-2018,173.05,174.8,165.4,166.5,169.79,828094,4431,140605008,112490,13.58,9.4,-6.55
29-10-2018,168.9,172.5,165.25,171.75,169.58,567897,2999,96306085,63393,11.16,7.25,2.85
30-10-2018,173.4,174,168.1,169,170.81,504598,2452,86189983,38040,7.54,5.9,-4.4
31-10-2018,168.9,173.85,165.1,170.15,169.8,1281851,7234,217663004,65474,5.11,8.75,1.25
01-11-2018,171.65,178,169.1,174.85,173.96,908526,4549,158045614,89614,9.86,8.9,3.2
02-11-2018,176.9,180,174,175.6,176.76,1102526,4374,194883306,164643,14.93,6,-1.3
05-11-2018,173.3,176.7,155.65,168.5,166.97,1621202,9062,270691301,90769,5.6,21.05,-4.8
06-11-2018,168,169,162.2,164.2,165.11,610534,3290,100808319,48351,7.92,6.8,-3.8
07-11-2018,165.95,168.75,164.85,165.8,166.2,114771,818,19074974,22328,19.45,3.9,-0.15
09-11-2018,167.35,167.8,164.1,166.3,165.97,358799,1804,59549627,39298,10.95,3.7,-1.05
12-11-2018,167.65,167.95,158.3,160.4,162.43,664686,2966,107967198,61975,9.32,9.65,-7.25
13-11-2018,160,162.9,158.8,162.15,161.35,393005,2016,63413234,28892,7.35,4.1,2.15
14-11-2018,164.45,164.45,158.4,160.85,160.62,419550,1960,67389428,26790,6.39,6.05,-3.6
15-11-2018,160.55,166.05,160.55,162.75,163.27,624184,2929,101907680,67621,10.83,5.5,2.2
16-11-2018,163.9,163.9,157.75,161.4,160.41,495623,2718,79500919,63156,12.74,6.15,-2.5
19-11-2018,162,164.35,159.7,161.9,161.19,621502,2144,100182032,27301,4.39,4.65,-0.1
20-11-2018,160.1,163.4,157.2,159.85,160.74,710414,2613,114194107,41088,5.78,6.2,-0.25
21-11-2018,160.8,162.2,158.6,160.95,160.55,769717,2809,123581700,29385,3.82,3.6,0.15
22-11-2018,161.5,162.55,156.55,158.3,159.73,346184,2138,55294921,39536,11.42,6,-3.2
26-11-2018,158.8,159.95,155.5,157.2,157.73,512814,2474,80884599,28588,5.57,4.45,-1.6
27-11-2018,157.95,160.8,154.35,158.8,157.95,457424,2461,72249645,25764,5.63,6.45,0.85
28-11-2018,159,159.6,156.4,157.85,158.19,553517,2449,87558416,55647,10.05,3.2,-1.15
29-11-2018,158.5,174.85,158.5,170.15,167.41,1791650,9583,299947696,195600,10.92,16.35,11.65
30-11-2018,169.1,174.8,163.95,165.25,169.55,1008578,5181,171001154,103015,10.21,10.85,-3.85
03-12-2018,165.25,168.3,163.7,166.25,166.36,302608,1865,50342941,21607,7.14,4.6,1
04-12-2018,167.5,167.55,160.2,162.8,163.01,394104,2021,64243240,30846,7.83,7.35,-4.7
05-12-2018,161.5,164.9,155.55,156.95,159.52,770050,3090,122840288,198492,25.78,9.35,-4.55
06-12-2018,157.4,157.5,149.55,150.25,152.12,597004,3057,90815168,95131,15.93,7.95,-7.15
07-12-2018,151.1,153.8,149.8,152.8,152.23,531350,2458,80887566,70982,13.36,4,1.7
10-12-2018,147,147,141,143.05,143.42,717313,3492,102879331,38612,5.38,6,-3.95
11-12-2018,138.1,155.9,137.5,151.9,146.15,1365722,5566,199596470,77268,5.66,18.4,13.8
12-12-2018,152.5,156.8,150.85,155.9,154.2,644337,3331,99356641,25720,3.99,5.95,3.4
13-12-2018,157.5,158.3,153.65,155.8,156.59,707983,2610,110862392,47713,6.74,4.65,-1.7
14-12-2018,156,157.9,154.2,157.1,155.78,635497,2322,98999202,22199,3.49,3.7,1.1
17-12-2018,157.5,158.85,156.4,158.1,157.72,272877,1850,43037381,19504,7.15,2.45,0.6
18-12-2018,157.5,159.75,156.45,157.9,158.08,246583,1200,38979287,15142,6.14,3.3,0.4
19-12-2018,160,162.45,158.6,160.05,160.3,262534,1531,42084087,19905,7.58,3.85,0.05
20-12-2018,160,162.45,158.4,159,160.09,405234,1845,64872534,23134,5.71,4.05,-1
21-12-2018,159.9,160.5,152.1,158.9,155.72,848319,3546,132101771,38417,4.53,8.4,-1
24-12-2018,159,160.7,155,158.15,158.86,553576,2318,87940167,34778,6.28,5.7,-0.85
26-12-2018,156.3,162.5,155.2,160.65,157.85,450136,2506,71051977,25841,5.74,7.3,4.35
27-12-2018,161.8,167.4,159.65,162.2,164.02,1056859,5807,173343472,58038,5.49,7.75,0.4
28-12-2018,161.8,164.2,160,161.75,162.14,407803,2259,66120369,23676,5.81,4.2,-0.05
31-12-2018,162.5,164,160.3,160.95,161.37,317349,1694,51209868,31751,10.01,3.7,-1.55
01-01-2019,161,162.6,155.55,157.2,157.96,651518,3304,102912573,94635,14.53,7.05,-3.8
02-01-2019,157,158,152.85,154.75,155.48,323380,1910,50277831,56861,17.58,5.15,-2.25
03-01-2019,154.9,156,150.6,152.55,153.3,278733,1450,42729752,39736,14.26,5.4,-2.35
04-01-2019,152.6,153.7,150.1,152.35,151.81,279230,1482,42390144,32169,11.52,3.6,-0.25
07-01-2019,153.25,154.25,150.4,151,152.16,367424,1703,55907373,61891,16.84,3.85,-2.25
08-01-2019,151.2,154.2,149.7,153.4,152.02,324277,1586,49295720,48016,14.81,4.5,2.2
09-01-2019,154.1,154.4,147.55,149.3,149.86,511010,2544,76581490,82037,16.05,6.85,-4.8
10-01-2019,151.35,153.15,148.8,151.1,150.37,499045,2643,75039270,45344,9.09,4.35,-0.25
11-01-2019,151.2,152.2,149.3,151.4,150.87,250874,1284,37848382,41554,16.56,2.9,0.2
14-01-2019,151.5,151.5,147.05,148.3,148.31,303113,1409,44954324,35709,11.78,4.45,-3.2
15-01-2019,148.5,149.9,147.4,148.85,148.79,232160,1296,34543216,32082,13.82,2.5,0.35
16-01-2019,148.75,150.7,148,148.4,148.87,266443,1239,39664946,31919,11.98,2.7,-0.35
17-01-2019,149,151.05,146.5,149.1,148.78,365462,1863,54372082,39410,10.78,4.55,0.1
18-01-2019,150.1,150.7,144.65,146.75,147.02,365601,1772,53749622,58296,15.95,6.05,-3.35
21-01-2019,146.75,148.05,143.9,145.95,146.15,270711,1333,39563368,26003,9.61,4.15,-0.8
22-01-2019,145.45,146.5,141.85,145.65,144.51,285268,1480,41224433,38170,13.38,4.65,0.2
23-01-2019,145.65,146.5,142.05,142.95,143.92,272934,1344,39280269,43790,16.04,4.45,-2.7
24-01-2019,143,143.9,141.15,142.6,142.3,261501,1070,37211093,27210,10.41,2.75,-0.4
25-01-2019,143.2,145.35,136,137.25,140.57,529119,2344,74376308,57601,10.89,9.35,-5.95
28-01-2019,138,140.5,123.55,136.3,133.31,1592035,8078,212232332,99140,6.23,16.95,-1.7
29-01-2019,136.5,143.35,133.65,140.7,137.7,1186123,5323,163330609,38603,3.25,9.7,4.2
30-01-2019,142.45,142.45,136.35,139.7,138.43,827539,2891,114555477,31780,3.84,6.1,-2.75
31-01-2019,139.9,141.45,135.1,137.2,137.88,558459,2340,77001420,38171,6.84,6.35,-2.7
01-02-2019,137.45,144.35,134.65,142.5,140.45,755591,6180,106125436,77324,10.23,9.7,5.05
04-02-2019,142,142,121.15,122.85,128.91,1327472,6696,171123931,202247,15.24,20.85,-19.15
05-02-2019,123.75,127.2,119.6,123.8,124.22,1275302,5374,158424226,63194,4.96,7.6,0.05
06-02-2019,123.95,124.35,114.95,122.7,119.97,1408415,6497,168972769,71664,5.09,9.4,-1.25
07-02-2019,122,126.8,119.25,123.7,123.12,1167937,5920,143801878,38145,3.27,7.55,1.7
08-02-2019,122,125.65,115.6,123.45,122.04,1209781,5246,147646714,44012,3.64,10.05,1.45
11-02-2019,123.45,123.45,115.9,118.3,119.11,896344,4086,106762796,51715,5.77,7.55,-5.15
12-02-2019,117,120,115.4,117,117.59,510415,2423,60021291,26933,5.28,4.6,0
13-02-2019,117.5,125.35,115.65,119.55,120.77,1058647,5845,127855723,78054,7.37,9.7,2.05
14-02-2019,118.55,119.4,116.2,118.25,117.7,629065,3243,74040903,41445,6.59,3.2,-0.3
15-02-2019,118.9,120.9,116.85,119.65,118.8,580677,3131,68983331,30196,5.2,4.05,0.75
18-02-2019,119.65,119.95,116.3,117.9,118.26,499078,2365,59022419,43321,8.68,3.65,-1.75
19-02-2019,118.05,119.8,117.1,118.35,118.43,372378,1968,44102173,18172,4.88,2.7,0.3
20-02-2019,118.25,120.95,117.8,119.95,119.61,484693,2352,57972216,37855,7.81,3.15,1.7
21-02-2019,120,121.1,118.1,119.55,119.71,404583,1960,48432698,25138,6.21,3,-0.45
22-02-2019,119.9,131.5,119.8,128.55,125.91,1563973,9102,196923967,126858,8.11,11.7,8.65
25-02-2019,123,133.3,123,131.45,129.21,1092865,6574,141211052,80937,7.41,10.3,8.45
26-02-2019,130.35,134.3,128.1,132.05,131.35,874893,5523,114916541,76701,8.77,6.2,1.7
27-02-2019,134.3,136.3,129.8,132.3,133.19,755815,4558,100668621,94511,12.5,6.5,-2
28-02-2019,134.15,134.2,128,128.95,131.67,345923,2086,45549163,53945,15.59,6.2,-5.2
01-03-2019,129.95,134.85,129.35,133.95,132.55,740030,6055,98094112,118044,15.95,5.5,4
05-03-2019,134.9,144.3,132.45,142.1,138.96,943120,7167,131052500,124209,13.17,11.85,7.2
06-03-2019,142.1,143.7,138.2,139.3,140.7,606067,3239,85271401,86573,14.28,5.5,-2.8
07-03-2019,139.7,140.8,135.4,137,138.22,465457,2169,64335173,49911,10.72,5.4,-2.7
08-03-2019,136,139,135.75,137.75,137.44,534970,2299,73527271,52207,9.76,3.25,1.75
11-03-2019,138.25,140.85,138,139.15,139.5,276228,1343,38534815,29522,10.69,2.85,0.9
12-03-2019,140.5,150.6,140.45,148.55,146.41,1201032,6221,175846475,136407,11.36,10.15,8.05
13-03-2019,148.65,150.35,145.4,147.55,147.77,617140,3149,91197759,70503,11.42,4.95,-1.1
14-03-2019,148,149.15,143.75,145.5,145.69,469025,2247,68334406,53971,11.51,5.4,-2.5
15-03-2019,145.5,148.9,138.9,141.55,144.73,945513,4219,136846055,95199,10.07,10,-3.95
18-03-2019,142,144.55,140.3,143.65,142.66,1069317,5121,152547932,60463,5.65,4.25,1.65
19-03-2019,144.15,144.8,141,142.05,142.69,665246,2785,94922545,29448,4.43,3.8,-2.1
20-03-2019,141.5,142.75,138.35,139.5,140.55,483279,1935,67923165,45716,9.46,4.4,-2
22-03-2019,139.5,141.35,137,138.05,139.17,775525,2688,107930908,43071,5.55,4.35,-1.45
25-03-2019,137.5,137.5,133.55,134.45,135.61,480431,1795,65150460,46118,9.6,3.95,-3.05
26-03-2019,135,139.8,133.55,138.55,137.72,715307,3015,98512351,56319,7.87,6.25,3.55
27-03-2019,138.95,140.95,136.65,137.75,138.66,476696,3129,66097149,52369,10.99,4.3,-1.2
28-03-2019,139.4,143,136.6,138.1,140.41,582775,2625,81826843,59767,10.26,6.4,-1.3
29-03-2019,139.5,150.05,139.5,147.35,146.57,1404902,7470,205919946,154188,10.98,10.55,7.85
01-04-2019,147.45,153,145.25,151.35,149.43,1023073,6073,152873761,123493,12.07,7.75,3.9
02-04-2019,151.8,153.3,148.35,151.6,151.33,706778,4009,106958053,59769,8.46,4.95,-0.2
03-04-2019,150.9,152.75,146.4,147.4,149.7,423476,2333,63394268,61426,14.51,6.35,-3.5
