Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
20-07-2018,1110.5,1138.25,1110.5,1128.55,1125.24,446801,12094,502759907,109831,24.58,27.75,18.05
23-07-2018,1129.7,1130,1114,1120.15,1119.63,205750,4704,230363644,69915,33.98,16,-9.55
24-07-2018,1122,1126.1,1107.65,1110.55,1115.07,305391,5790,340531123,135804,44.47,18.45,-11.45
25-07-2018,1112.25,1122.3,1104.55,1114.05,1116.14,265010,5802,295787919,102790,38.79,17.75,1.8
26-07-2018,1113,1121,1107.7,1110.35,1114.83,154028,4490,171715377,60309,39.15,13.3,-2.65
27-07-2018,1117.2,1137,1112.8,1129.6,1127.61,447361,9677,504447537,132729,29.67,24.2,12.4
30-07-2018,1136,1157.55,1126.6,1149.7,1143.09,713184,16271,815232499,166693,23.37,30.95,13.7
31-07-2018,1150,1190,1145,1185.85,1174.1,1165189,15180,1368043868,642377,55.13,45,35.85
01-08-2018,1195,1202.95,1185.95,1191.15,1193.34,510625,11470,609351544,117387,22.99,17,-3.85
02-08-2018,1192.35,1194.5,1166,1168.35,1173.96,280942,8169,329815280,62971,22.41,28.5,-24
03-08-2018,1175,1183.85,1169.5,1176.75,1176.32,278816,6056,327976685,75712,27.15,14.35,1.75
06-08-2018,1180,1196,1174.85,1191.5,1187.7,267933,5794,318223923,60281,22.5,21.15,11.5
07-08-2018,1196,1200,1178.3,1183.55,1185.55,210322,4989,249347720,60982,28.99,21.7,-12.45
08-08-2018,1188.4,1222,1186,1217.25,1205.06,477703,13587,575658918,142777,29.89,36,28.85
09-08-2018,1220,1231.5,1212,1217.95,1222.7,528555,9232,646261846,295581,55.92,19.5,-2.05
10-08-2018,1215,1215.3,1201.95,1204,1207.81,171098,4431,206653904,52765,30.84,13.35,-11
13-08-2018,1203,1203,1183.05,1187.15,1191.4,223453,5606,266222453,59977,26.84,19.95,-15.85
14-08-2018,1187.2,1216.4,1185.25,1210.95,1203.73,313057,7748,376834985,80767,25.8,31.15,23.75
16-08-2018,1206.4,1215.7,1196.25,1200.2,1204.83,323707,6759,390012448,93709,28.95,19.45,-6.2
17-08-2018,1206,1215,1200.25,1203.45,1208.41,190969,4483,230768070,44000,23.04,14.75,-2.55
20-08-2018,1206.5,1238.05,1206.5,1234.9,1225.52,561333,11226,687924665,232771,41.47,31.55,28.4
21-08-2018,1236,1251,1227.15,1246.5,1242.41,427978,8444,531725311,169337,39.57,23.85,10.5
23-08-2018,1244,1273.55,1238.6,1269.7,1260.24,364123,10008,458880694,103036,28.3,34.95,25.7
24-08-2018,1265,1280,1260.9,1278.05,1272.66,378371,8861,481538554,90844,24.01,19.1,13.05
27-08-2018,1280.05,1296.2,1280,1291.6,1290.47,288953,7343,372884299,68974,23.87,16.2,11.55
28-08-2018,1298.75,1323,1295.5,1318.2,1310.94,484736,12158,635461760,115900,23.91,27.5,19.45
29-08-2018,1319,1328.75,1290.3,1294.45,1309.21,570571,15437,746997859,137151,24.04,38.45,-24.55
30-08-2018,1300,1300,1270.45,1274.1,1278.06,1802595,11065,2303818040,1472726,81.7,29.55,-25.9
31-08-2018,1273.8,1273.8,1237.05,1240.95,1251.35,1284024,14772,1606763945,900813,70.16,36.75,-32.85
03-09-2018,1249,1258,1227.5,1230.4,1244.62,1220847,12950,1519487752,793456,64.99,30.5,-18.6
04-09-2018,1235,1254.75,1230,1242.35,1241.19,433632,10816,538219311,65432,15.09,24.75,7.35
05-09-2018,1245,1252.45,1210,1225.8,1228.89,1203980,17285,1479558285,596628,49.55,42.45,-19.2
06-09-2018,1230,1263.8,1226,1260.15,1245.31,558949,12177,696064811,102255,18.29,37.8,30.15
07-09-2018,1267.7,1279.9,1254.85,1276.75,1271.42,430464,10897,547302030,91640,21.29,25.05,9.05
10-09-2018,1275,1276.75,1251.55,1257.15,1263.69,343489,9264,434062651,71284,20.75,25.2,-17.85
11-09-2018,1260,1267.75,1235,1238.45,1252.89,366025,9979,458590789,82487,22.54,32.75,-21.55
12-09-2018,1244.45,1257.65,1229.85,1252.7,1243.5,459285,9593,571120810,62561,13.62,27.8,8.25
14-09-2018,1261,1275,1248.55,1252.8,1257.86,294230,7446,370101235,79267,26.94,26.45,-8.2
17-09-2018,1251.9,1251.9,1220.5,1226.25,1233.11,371950,10206,458655858,100654,27.06,31.4,-25.65
18-09-2018,1224,1238.9,1214.25,1217.2,1228.18,314415,9624,386159763,81647,25.97,24.65,-6.8
19-09-2018,1225,1227,1201.2,1210.3,1210.65,861320,13027,1042753315,501202,58.19,25.8,-14.7
21-09-2018,1220.05,1237.1,1183.2,1216.85,1223.29,566364,14105,692826473,202323,35.72,53.9,-3.2
24-09-2018,1216,1239.9,1204.25,1232.3,1224.79,451884,14400,553461897,192393,42.58,35.65,16.3
25-09-2018,1233.3,1244.9,1195.75,1230.6,1226.82,396784,14124,486782900,73170,18.44,49.15,-2.7
26-09-2018,1235.2,1254.1,1226.8,1251.75,1240.61,337685,8887,418934481,131410,38.91,27.3,16.55
27-09-2018,1259.8,1263.25,1238.6,1252.9,1251.82,389427,9977,487492331,85334,21.91,24.65,-6.9
28-09-2018,1260,1271.1,1247.65,1258.2,1256.21,648062,12202,814104435,339361,52.37,23.45,-1.8
01-10-2018,1258.2,1260,1204.3,1231.55,1227.1,366797,9965,450094828,66461,18.12,55.7,-26.65
03-10-2018,1233.1,1239.75,1198.7,1205.3,1216.43,430421,11873,523576795,130256,30.26,41.05,-27.8
04-10-2018,1199,1199,1105.05,1120.55,1140.9,1482416,42726,1691289460,459995,31.03,93.95,-78.45
05-10-2018,1102.6,1115.55,1039.55,1049.85,1078.78,1164483,37869,1256222906,271825,23.34,76,-52.75
08-10-2018,1048.85,1115.35,1025.2,1107.95,1083.82,1330634,31974,1442168884,276727,20.8,90.15,59.1
09-10-2018,1121.1,1123.5,1080.75,1090.4,1103.03,620130,16031,684021662,125017,20.16,42.75,-30.7
10-10-2018,1095,1114.7,1085.1,1102.35,1101.46,404719,10879,445781789,67328,16.64,29.6,7.35
11-10-2018,1067.8,1114.4,1043.05,1089.2,1086.15,765397,17702,831338192,142520,18.62,71.35,21.4
12-10-2018,1102.5,1129,1102,1126.4,1121.25,446104,11160,500193445,104315,23.38,27,23.9
15-10-2018,1133.3,1146.35,1119.25,1139.8,1137.47,397762,12777,452440958,75084,18.88,27.1,6.5
16-10-2018,1146.15,1168,1140.8,1163.65,1155.51,464449,11757,536673595,118255,25.46,27.2,17.5
17-10-2018,1180,1180.95,1141,1148.9,1168.25,1452993,15094,1697455832,898169,61.82,39.95,-31.1
19-10-2018,1103.9,1110,1073.15,1101.65,1091.48,1461537,29562,1595243838,655286,44.84,36.85,-2.25
22-10-2018,1111,1114.8,1057.35,1062.45,1081.49,646574,19144,699263835,211879,32.77,57.45,-48.55
23-10-2018,1053,1064.5,1043.7,1052.6,1053.39,527427,12615,555585909,141338,26.8,20.8,-0.4
24-10-2018,1074,1074.95,1031,1046.6,1049.17,584557,13935,613302316,160476,27.45,43.95,-27.4
25-10-2018,1036,1040.05,1017,1030.2,1029.15,704437,17801,724970171,193416,27.46,23.05,-5.8
26-10-2018,1040,1056.75,1022.15,1044.7,1043.7,647855,14144,676166634,89817,13.86,34.6,4.7
29-10-2018,1047.7,1093.15,1047,1088,1071.35,535561,12329,573774668,114234,21.33,46.15,40.3
30-10-2018,1087.45,1087.45,1052,1057.15,1064.77,558189,13384,594340158,138891,24.88,35.45,-30.3
31-10-2018,1064.7,1065.7,1047.65,1061.4,1061.41,3153168,10980,3346793657,2709209,85.92,18.05,-3.3
01-11-2018,1066.4,1068.8,1050.3,1056.9,1058.49,393976,9454,417019269,85260,21.64,18.5,-9.5
02-11-2018,1067.8,1081,1063,1074.25,1069.77,4308094,14539,4608687928,3619191,84.01,18,6.45
05-11-2018,1074,1093.5,1064.5,1088.55,1072.59,5052059,14534,5418785691,4346186,86.03,29,14.55
06-11-2018,1094.3,1111.95,1093.05,1103.45,1104.37,661149,11150,730152637,249829,37.79,18.9,9.15
07-11-2018,1116.8,1117,1106.6,1110.55,1110.66,99786,3836,110828326,42586,42.68,10.4,-6.25
09-11-2018,1106,1113.3,1086,1093.35,1100.43,379720,7920,417856264,94582,24.91,27.3,-12.65
12-11-2018,1098.5,1100.05,1074.3,1078.75,1085.92,259275,7060,281550852,73519,28.36,25.75,-19.75
13-11-2018,1075.9,1102.8,1071,1099.55,1090.27,363436,8299,396241706,83791,23.06,31.8,23.65
14-11-2018,1105,1112.85,1087,1096.1,1098.05,420083,8532,461272637,88950,21.17,25.85,-8.9
15-11-2018,1096,1102.85,1087.1,1096.9,1094.98,286257,6454,313447052,52445,18.32,15.75,0.9
16-11-2018,1096.1,1129.3,1096.1,1127.5,1122.17,702952,14307,788829479,161502,22.97,33.2,31.4
19-11-2018,1132,1151.4,1131.2,1149.6,1141.13,514395,13163,586991821,215124,41.82,20.2,17.6
20-11-2018,1146,1155.45,1130.4,1138.65,1141.29,472247,6805,538972654,64810,13.72,25.05,-7.35
21-11-2018,1137,1145.4,1107.05,1112.3,1115.37,499461,9198,557081787,192693,38.58,38.35,-24.7
22-11-2018,1114.7,1125.1,1100,1102.85,1112.91,360992,8015,401750350,76688,21.24,25.1,-11.85
26-11-2018,1109.95,1117.25,1098.05,1109.6,1107.73,279608,6373,309731093,66919,23.93,19.2,-0.35
27-11-2018,1109.5,1129.4,1101.7,1127.5,1122.58,264152,6556,296531529,61921,23.44,27.7,18
28-11-2018,1132.3,1157.7,1126.5,1146.25,1139.62,1098006,17132,1251306476,169921,15.48,31.2,13.95
29-11-2018,1159,1179.9,1158.8,1170,1171.97,413830,14828,484994396,116134,28.06,21.1,11
30-11-2018,1172,1186,1162.95,1168.2,1173.57,454515,16103,533404892,118071,25.98,23.05,-3.8
03-12-2018,1172.05,1174,1148.65,1156.3,1158.38,292260,8019,338548700,79862,27.33,25.35,-15.75
04-12-2018,1157,1157.4,1142.95,1151.55,1149.32,206600,4741,237448932,34752,16.82,14.45,-5.45
05-12-2018,1144.7,1159,1139.6,1154.85,1150.5,268318,6005,308698772,70546,26.29,19.4,10.15
06-12-2018,1147.5,1147.85,1118.25,1123.45,1135.89,249128,8001,282983028,69192,27.77,29.6,-24.05
07-12-2018,1132.8,1135.2,1109.1,1133.25,1125.91,256042,6870,288280603,63497,24.8,26.1,0.45
10-12-2018,1112.65,1112.75,1084,1088.5,1090.92,1104729,16559,1205174560,762774,69.05,28.75,-24.15
11-12-2018,1066.1,1100.2,1055.35,1096.2,1079.17,957115,20943,1032888065,229901,24.02,44.85,30.1
12-12-2018,1100,1113.35,1088.1,1110.5,1099.23,1035909,11812,1138703615,607762,58.67,25.25,10.5
13-12-2018,1125.6,1126.35,1096.55,1106.8,1110.67,632140,11297,702101333,287519,45.48,29.8,-18.8
14-12-2018,1103.9,1115,1092.6,1111.75,1107.24,384977,8605,426260323,70910,18.42,22.4,7.85
17-12-2018,1114.7,1133.8,1110.3,1130.6,1125.27,374864,8112,421823889,83652,22.32,23.5,15.9
18-12-2018,1122,1139.5,1120.8,1136.45,1130.63,300671,6444,339948504,57121,19,18.7,14.45
19-12-2018,1138.65,1146.55,1131.4,1137.1,1141.18,1116276,7385,1273871796,877394,78.6,15.15,-1.55
20-12-2018,1124,1131.95,1116.5,1127.25,1125.21,306576,8623,344962219,75601,24.66,15.45,3.25
21-12-2018,1128.3,1131.4,1095,1098.35,1109.69,835175,11407,926787837,517822,62,36.4,-29.95
24-12-2018,1101.8,1103,1086.5,1090.05,1093.66,270421,6340,295748826,57737,21.35,16.5,-11.75
26-12-2018,1087,1100.65,1066.55,1096.95,1081.03,474923,12592,513407728,84857,17.87,34.1,9.95
27-12-2018,1105,1125.9,1104.45,1120,1119.32,454773,11609,509035521,111874,24.6,21.45,15
28-12-2018,1123.3,1135.9,1122,1125.8,1129.83,343132,7868,387681552,87263,25.43,13.9,2.5
31-12-2018,1127.15,1133.4,1116.6,1121.05,1122.61,264252,5537,296651269,64647,24.46,16.8,-6.1
